[2017-08-19 02:28:26 http] Undefined variable: a | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/Runner.php | Line: 21
[2017-08-19 02:29:30 http] Undefined variable: a | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/Runner.php | Line: 21
[2017-08-19 02:41:13 http] Undefined variable: a | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/Runner.php | Line: 21
[2017-08-26 03:39:41 http] Undefined variable: a | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/Runner.php | Line: 21
[2017-08-26 03:56:23 http] Undefined variable: a | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/Runner.php | Line: 21
[2017-08-26 03:56:32 http] Undefined variable: a | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/Runner.php | Line: 21
[2017-08-28 03:34:56 http] Undefined variable: a | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/Runner.php | Line: 21
[2017-08-28 05:51:37 http] Undefined variable: a | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/Runner.php | Line: 21
[2017-08-29 02:07:56 http] Undefined variable: a | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/Runner.php | Line: 21
[2017-08-29 03:17:11 http] Undefined variable: a | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/Runner.php | Line: 21
[2017-08-29 03:17:20 http] Undefined variable: a | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/Runner.php | Line: 21
[2017-08-29 03:17:22 http] Undefined variable: a | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/Runner.php | Line: 21
[2017-08-29 03:17:28 http] Undefined variable: a | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/Runner.php | Line: 21
[2017-08-29 03:18:18 http] Undefined variable: a | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/Runner.php | Line: 21
[2017-08-29 03:24:44 http] Undefined variable: a | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/Runner.php | Line: 21
[2017-08-29 03:27:08 http] Undefined variable: a | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/Runner.php | Line: 21
[2017-08-31 03:22:47 http] Undefined index: message | File: /var/www/html/toKernel.3/tokernel.framework/kernel/HTTP/ErrorExceptionHandler.php | Line: 126
[2017-09-01 10:30:58 cli] Undefined variable: a | File: /var/www/html/toKernel.3/tokernel.framework/Kernel/CLI/Runner.php | Line: 24
[2017-09-01 10:31:40 cli] Test User Error | File: /var/www/html/toKernel.3/tokernel.framework/Kernel/CLI/Runner.php | Line: 27
[2017-09-01 10:32:06 cli] Test User Error | File: /var/www/html/toKernel.3/tokernel.framework/Kernel/CLI/Runner.php | Line: 27
[2017-09-01 10:32:07 cli] Test User Error | File: /var/www/html/toKernel.3/tokernel.framework/Kernel/CLI/Runner.php | Line: 27
[2017-09-01 10:32:09 cli] Test User Error | File: /var/www/html/toKernel.3/tokernel.framework/Kernel/CLI/Runner.php | Line: 27
[2017-09-01 10:32:10 cli] Test User Error | File: /var/www/html/toKernel.3/tokernel.framework/Kernel/CLI/Runner.php | Line: 27
[2017-09-01 10:32:30 cli] Test User Error | File: /var/www/html/toKernel.3/tokernel.framework/Kernel/CLI/Runner.php | Line: 27
[2017-09-01 10:32:32 cli] Test User Error | File: /var/www/html/toKernel.3/tokernel.framework/Kernel/CLI/Runner.php | Line: 27
[2017-09-01 10:33:06 cli] Test User Error | File: /var/www/html/toKernel.3/tokernel.framework/Kernel/CLI/Runner.php | Line: 27
[2017-09-04 14:21:23 http] Array to string conversion | File: /var/www/html/toKernel.3/tokernel.framework/Lib/Template.php | Line: 138
